Date,Adj Close,Close,High,Low,Open,Volume
2000-01-03,35.4436149597168,58.28125,59.3125,56.0,58.6875,53228400
2000-01-04,34.24631881713867,56.3125,58.5625,56.125,56.78125,54119000
2000-01-05,34.6074104309082,56.90625,58.1875,54.6875,55.5625,64059600
2000-01-06,33.448123931884766,55.0,56.9375,54.1875,56.09375,54976600
2000-01-07,33.88521194458008,55.71875,56.125,53.65625,54.3125,62013600
2000-01-10,34.13229751586914,56.125,56.84375,55.6875,56.71875,44963600
2000-01-11,33.25807189941406,54.6875,57.125,54.34375,55.75,46743600
2000-01-12,32.174808502197266,52.90625,54.4375,52.21875,54.25,66532400
2000-01-13,32.782962799072266,53.90625,54.3125,50.75,52.1875,83144000
2000-01-14,34.13229751586914,56.125,56.96875,52.875,53.59375,73416400
2000-01-18,35.06350326538086,57.65625,58.25,55.875,55.90625,81483600
2000-01-19,32.53590393066406,53.5,55.75,53.0,55.25,97568200
2000-01-20,32.231815338134766,53.0,54.84375,52.9375,53.53125,56349800
2000-01-21,31.547666549682617,51.875,53.625,51.625,53.5,68416200
2000-01-24,30.787485122680664,50.625,52.84375,50.40625,51.8984375,63597600
2000-01-25,31.26259422302246,51.40625,51.9375,49.78125,50.5,59823200
2000-01-26,30.217342376708984,49.6875,51.75,49.5625,51.21875,49365000
2000-01-27,30.027297973632812,49.375,50.59375,48.625,49.9453125,63654800
2000-01-28,29.875261306762695,49.125,50.125,48.625,49.0625,58225400
2000-01-31,29.761219024658203,48.9375,49.09375,47.4375,48.8125,73194200
2000-02-01,31.30060386657715,51.46875,51.625,48.84375,49.25,70196600
2000-02-02,30.654443740844727,50.40625,51.96875,50.25,51.21875,49915600
2000-02-03,31.509654998779297,51.8125,52.09375,50.0625,51.03125,49186000
2000-02-04,32.402870178222656,53.28125,54.0,52.0703125,52.1875,55365400
2000-02-07,32.42186737060547,53.3125,53.4375,52.125,53.40625,40005800
2000-02-08,33.42911911010742,54.96875,55.0,53.21875,53.21875,56229000
2000-02-09,31.62370491027832,52.0,54.71875,51.9375,54.71875,55090000
2000-02-10,32.231815338134766,53.0,53.28125,51.25,51.9453125,54527800
2000-02-11,30.388368606567383,49.96875,52.4375,49.5625,52.4375,115559000
2000-02-14,30.293350219726562,49.8125,50.875,49.53125,50.6171875,81028600
2000-02-15,29.970287322998047,49.28125,50.0,49.0625,49.875,71027600
2000-02-16,29.68522071838379,48.8125,50.09375,48.5625,49.625,65202600
2000-02-17,30.293350219726562,49.8125,49.84375,48.5703125,49.25,80343400
2000-02-18,28.906023025512695,47.53125,50.03125,47.4375,50.0,79063000
2000-02-22,28.525920867919922,46.90625,48.5625,46.40625,47.5625,66296200
2000-02-23,28.658966064453125,47.125,47.875,46.03125,46.75,75847200
2000-02-24,28.810985565185547,47.375,47.9375,46.0,47.125,69733200
2000-02-25,27.7657413482666,45.65625,47.3515625,45.25,47.34375,65301400
2000-02-28,27.841785430908203,45.78125,46.0625,44.0625,45.125,76131800
2000-02-29,27.176610946655273,44.6875,45.875,44.4375,45.875,58437400
2000-03-01,27.61370849609375,45.40625,47.046875,44.46875,44.8125,106889800
2000-03-02,28.392915725708008,46.6875,47.6875,45.5625,45.90625,106932600
2000-03-03,29.22909164428711,48.0625,49.4375,46.9375,47.375,101435200
2000-03-06,27.55668830871582,45.3125,48.6875,45.0625,48.0,93609400
2000-03-07,28.240869522094727,46.4375,48.75,45.96875,48.0625,135061000
2000-03-08,29.058061599731445,47.78125,48.09375,45.5,46.90625,94290000
2000-03-09,30.407384872436523,50.0,50.0,47.5,47.65625,88198800
2000-03-10,30.711463928222656,50.5,51.25,49.75,49.78125,85589000
2000-03-13,29.799230575561523,49.0,50.125,48.75,48.8125,61831800
2000-03-14,28.925018310546875,47.5625,49.625,47.5625,49.3125,73489200
2000-03-15,29.001028060913086,47.6875,48.3125,46.84375,47.28125,53208000
2000-03-16,29.001028060913086,47.6875,48.34375,46.625,47.96875,77300800
2000-03-17,30.217342376708984,49.6875,49.75,47.25,47.625,81161600
2000-03-20,29.60918426513672,48.6875,49.875,48.25,49.375,47773000
2000-03-21,31.24361228942871,51.375,51.5625,48.25,48.375,81648800
2000-03-22,31.395626068115234,51.625,52.8125,50.5625,51.40625,93975800
2000-03-23,34.01824951171875,55.9375,56.4375,53.3125,53.40625,148224000
2000-03-24,33.96125030517578,55.84375,57.5,54.78125,56.3125,112196800
2000-03-27,31.6426944732666,52.03125,54.125,51.96875,53.8828125,111434000
2000-03-28,31.718698501586914,52.15625,53.71875,51.1875,51.8125,81114400
2000-03-29,32.592933654785156,53.59375,54.46875,52.5625,52.59375,64363800
2000-03-30,31.43364715576172,51.6875,54.3125,51.25,53.09375,64178400
2000-03-31,32.30784225463867,53.125,54.125,52.0625,53.0,64281400
2000-04-03,27.632707595825195,45.4375,48.25,45.0,47.21875,260118200
2000-04-04,26.929536819458008,44.28125,46.0,42.46875,45.78125,181244400
2000-04-05,26.264373779296875,43.1875,44.25,42.9375,44.125,82887600
2000-04-06,26.15035629272461,43.0,44.0,42.6328125,43.9375,66421400
2000-04-07,27.08158302307129,44.53125,44.6875,42.5,43.5,82613600
2000-04-10,26.169353485107422,43.03125,44.3125,43.0,44.3125,60685400
2000-04-11,25.50420570373535,41.9375,43.03125,41.75,42.5625,71961800
2000-04-12,24.135875701904297,39.6875,41.125,39.375,41.0625,153003800
2000-04-13,24.097858428955078,39.625,41.125,39.5,40.4375,94316200
2000-04-14,22.539480209350586,37.0625,39.75,36.625,39.5625,151217800
2000-04-17,23.07159996032715,37.9375,38.0,36.5,37.125,119772200
2000-04-18,24.496944427490234,40.28125,40.96875,37.9375,38.25,91794600
2000-04-19,23.92681121826172,39.34375,40.75,39.0625,40.71875,53715400
2000-04-20,24.00282859802246,39.46875,39.9375,38.75,39.3125,52387400
2000-04-24,20.25892448425293,33.3125,34.0,32.5,33.625,313645800
2000-04-25,21.09511947631836,34.6875,34.75,33.8125,34.375,159517400
2000-04-26,20.67702865600586,34.0,35.5625,33.6875,35.0,107091200
2000-04-27,21.228151321411133,34.90625,34.96875,33.6875,33.71875,77669800
2000-04-28,21.209148406982422,34.875,35.5,34.125,35.375,78082600
2000-05-01,22.330419540405273,36.71875,37.0,35.84375,36.4375,107811000
2000-05-02,21.247159957885742,34.9375,36.75,34.75,36.40625,97716200
2000-05-03,21.456214904785156,35.28125,35.40625,34.40625,35.1875,55354800
2000-05-04,21.418195724487305,35.21875,35.625,34.65625,35.15625,43317200
2000-05-05,21.627254486083984,35.5625,35.90625,34.9375,35.125,36402200
2000-05-08,21.228151321411133,34.90625,35.6875,34.84375,35.46875,36187600
2000-05-09,20.620012283325195,33.90625,35.21875,33.75,35.09375,60778400
2000-05-10,20.12588882446289,33.09375,33.9375,32.875,33.875,67740000
2000-05-11,20.63901710510254,33.9375,34.0625,32.875,33.3125,58390800
2000-05-12,20.924081802368164,34.40625,34.875,34.125,34.21875,37886000
2000-05-15,21.09511947631836,34.6875,34.71875,34.0,34.5,33899600
2000-05-16,21.13313102722168,34.75,35.3125,34.53125,34.78125,48410600
2000-05-17,20.581995010375977,33.84375,34.5625,33.625,34.4375,53242000
2000-05-18,20.12588882446289,33.09375,34.03125,32.9375,34.03125,53640400
2000-05-19,19.783811569213867,32.53125,32.96875,32.25,32.6875,66578000
2000-05-22,19.517738342285156,32.09375,32.625,31.21875,32.5625,69955000
2000-05-23,19.21366310119629,31.59375,32.78125,31.53125,31.9375,57963200
2000-05-24,19.935848236083984,32.78125,33.28125,31.5,31.5625,85482400
2000-05-25,18.700542449951172,30.75,32.375,30.5625,32.28125,94348800
2000-05-26,18.681543350219727,30.71875,31.3125,30.1875,31.03125,55822000
2000-05-30,19.27067756652832,31.6875,32.0625,31.0,31.21875,68536400
2000-05-31,19.023616790771484,31.28125,31.8515625,31.03125,31.8203125,54968200
2000-06-01,19.63176918029785,32.28125,33.0,31.90625,32.1875,94507200
2000-06-02,20.163898468017578,33.15625,33.375,32.5,33.0,80463200
2000-06-05,20.334936141967773,33.4375,34.1875,33.0,33.0078125,64400000
2000-06-06,21.171142578125,34.8125,34.9375,33.90625,34.09375,99019000
2000-06-07,21.437210083007812,35.25,35.375,33.5625,34.625,76310600
2000-06-08,20.924081802368164,34.40625,36.0625,34.125,35.78125,94765600
2000-06-09,20.924081802368164,34.40625,34.84375,34.15625,34.8125,35710200
