Pair,Ratio,Z-Score,RSI,MACD,Signal
VIVT3/KLBN11,1.7979,-3.22,31.5,-0.0268,WATCH LONG
TIMS3/ALPA4,1.707,-3.12,35.8,-0.0029,WATCH LONG
VIVT3/CMIG4,2.9197,-3.07,34.5,-0.0132,WATCH LONG
TIMS3/TOTS3,0.6638,-2.81,33.3,-0.0124,WATCH LONG
SBSP3/TOTS3,0.9144,-2.75,36.8,-0.0045,WATCH LONG
TAEE11/KLBN11,2.171,-2.66,30.1,-0.0293,WATCH LONG
TIMS3/KLBN11,1.0899,-2.64,24.2,-0.0423,WATCH LONG
TIMS3/CMIG4,1.7701,-2.64,27.7,-0.0484,WATCH LONG
VIVT3/CSAN3,8.2813,-2.61,37.1,-0.0912,WATCH LONG
TIMS3/ASAI3,2.3968,-2.61,36.3,-0.0254,WATCH LONG
EQTL3/RAIL3,2.7168,-2.59,34.4,-0.0238,WATCH LONG
VIVT3/GOAU4,3.0149,-2.53,29.0,-0.0833,WATCH LONG
SBSP3/ASAI3,3.3016,-2.53,40.0,0.0098,LONG FIRST / SHORT SECOND
SBSP3/KLBN11,1.5014,-2.46,26.3,-0.0357,WATCH LONG
SBSP3/ALPA4,2.3513,-2.43,42.3,0.0258,LONG FIRST / SHORT SECOND
SBSP3/CSAN3,6.9156,-2.42,29.7,-0.1364,WATCH LONG
SBSP3/MULT3,0.9794,-2.41,38.4,-0.0005,WATCH LONG
TIMS3/CSAN3,5.0205,-2.41,32.5,-0.1733,WATCH LONG
VIVT3/VAMO3,9.9325,-2.39,32.1,-0.2913,WATCH LONG
TIMS3/TAEE11,0.502,-2.38,33.7,-0.0116,WATCH LONG
MULT3/TOTS3,0.9337,-2.33,39.4,-0.0039,LONG FIRST / SHORT SECOND
VIVT3/TOTS3,1.095,-2.3,38.4,0.0043,LONG FIRST / SHORT SECOND
EQTL3/KLBN11,2.1044,-2.25,32.2,-0.036,LONG FIRST / SHORT SECOND
EQTL3/CMIG4,3.4175,-2.21,32.5,-0.0239,LONG FIRST / SHORT SECOND
BBDC4/KLBN11,1.0194,-2.2,38.0,-0.0032,LONG FIRST / SHORT SECOND
RADL3/GOAU4,1.6508,-2.2,32.1,-0.034,WATCH LONG
TIMS3/MULT3,0.711,-2.2,36.7,-0.0098,WATCH LONG
BPAC11/RAIL3,3.9405,-2.18,41.8,0.0091,WATCH LONG
MULT3/CSAN3,7.0614,-2.18,34.3,-0.1341,LONG FIRST / SHORT SECOND
RADL3/GGBR4,0.7138,-2.16,30.5,-0.0177,WATCH LONG
TIMS3/GOAU4,1.8277,-2.14,23.6,-0.0956,WATCH LONG
ITUB4/KLBN11,2.3309,-2.11,37.2,-0.0163,LONG FIRST / SHORT SECOND
TIMS3/VAMO3,6.0215,-2.1,25.7,-0.3273,WATCH LONG
RADL3/VAMO3,5.4387,-2.09,34.4,-0.1182,WATCH LONG
CMIG4/KLBN11,0.6158,-2.07,38.9,-0.006,LONG FIRST / SHORT SECOND
CYRE3/TOTS3,0.698,-2.03,39.4,-0.0095,LONG FIRST / SHORT SECOND
EQTL3/CSAN3,9.6931,-2.03,36.8,-0.1317,WATCH LONG
TIMS3/PCAR3,7.0612,-1.98,32.2,-0.789,WATCH LONG
BBDC4/BBAS3,0.8818,-1.97,43.9,0.0002,WATCH LONG
VIVT3/PCAR3,11.6475,-1.95,35.2,-0.9572,WATCH LONG
BPAC11/KLBN11,3.0522,-1.93,39.0,-0.0175,WATCH LONG
TAEE11/CSAN3,10.0,-1.92,38.9,-0.102,WATCH LONG
EQTL3/TOTS3,1.2817,-1.9,41.9,0.0014,WATCH LONG
SBSP3/GOAU4,2.5177,-1.9,22.8,-0.0923,WATCH LONG
ITUB4/RAIL3,3.0093,-1.88,43.6,0.0022,WATCH LONG
SBSP3/VAMO3,8.2945,-1.87,27.5,-0.3199,WATCH LONG
TIMS3/USIM5,2.3823,-1.85,39.7,-0.0177,WATCH LONG
BBDC4/SUZB3,0.4304,-1.83,44.3,0.0015,WATCH LONG
TAEE11/GOAU4,3.6406,-1.82,29.1,-0.0934,WATCH LONG
ITUB4/SUZB3,0.9841,-1.82,43.1,-0.0004,WATCH LONG
VIVT3/TAEE11,0.8281,-1.81,42.3,-0.0009,WATCH LONG
TAEE11/VAMO3,11.9939,-1.81,30.9,-0.3344,WATCH LONG
TIMS3/CYRE3,0.9511,-1.8,38.4,-0.0048,NO SIGNAL
RADL3/KLBN11,0.9845,-1.78,38.1,-0.0087,NO SIGNAL
B3SA3/VAMO3,4.7485,-1.76,38.9,-0.0811,NO SIGNAL
VIVT3/UGPA3,1.0087,-1.75,32.2,-0.0609,NO SIGNAL
SBSP3/PCAR3,9.7266,-1.75,33.7,-0.8815,NO SIGNAL
B3SA3/GGBR4,0.6232,-1.73,37.2,-0.0123,NO SIGNAL
EQTL3/GGBR4,1.5258,-1.72,25.4,-0.0513,NO SIGNAL
MULT3/GOAU4,2.5708,-1.71,26.5,-0.0909,NO SIGNAL
EQTL3/GOAU4,3.5289,-1.71,26.7,-0.1033,NO SIGNAL
EQTL3/VAMO3,11.6258,-1.71,28.0,-0.3646,NO SIGNAL
MULT3/VAMO3,8.4693,-1.69,30.1,-0.3164,NO SIGNAL
RENT3/TOTS3,1.258,-1.69,39.0,-0.0301,NO SIGNAL
BPAC11/SUZB3,1.2886,-1.68,43.5,0.0011,NO SIGNAL
SBSP3/TAEE11,0.6916,-1.67,39.9,-0.0064,NO SIGNAL
TIMS3/UGPA3,0.6115,-1.67,26.8,-0.0535,NO SIGNAL
LREN3/TOTS3,0.4521,-1.67,39.1,-0.0073,NO SIGNAL
BPAC11/CSAN3,14.0588,-1.65,42.8,-0.0293,NO SIGNAL
ITUB4/CMIG4,3.7854,-1.65,46.2,0.0095,NO SIGNAL
TAEE11/TOTS3,1.3223,-1.65,42.4,0.006,NO SIGNAL
B3SA3/GOAU4,1.4413,-1.65,38.3,-0.0227,NO SIGNAL
ITUB4/BBAS3,2.0163,-1.63,40.7,-0.0075,NO SIGNAL
BPAC11/VAMO3,16.862,-1.63,35.0,-0.3243,NO SIGNAL
ITUB4/CSAN3,10.7366,-1.62,43.8,-0.0421,NO SIGNAL
BPAC11/GGBR4,2.213,-1.62,34.0,-0.0479,NO SIGNAL
BBDC4/GGBR4,0.7391,-1.61,34.2,-0.014,NO SIGNAL
TIMS3/MGLU3,4.1414,-1.61,38.7,-0.0481,NO SIGNAL
BPAC11/GOAU4,5.1182,-1.6,33.8,-0.0896,NO SIGNAL
BBDC4/VAMO3,5.6319,-1.6,37.9,-0.0944,NO SIGNAL
VIVT3/ALPA4,2.8157,-1.59,43.6,0.0548,NO SIGNAL
BBDC4/GOAU4,1.7095,-1.58,35.6,-0.0253,NO SIGNAL
TIMS3/YDUQ3,2.4295,-1.58,39.8,0.0228,NO SIGNAL
CYRE3/ASAI3,2.5201,-1.57,43.5,-0.0138,NO SIGNAL
PETR4/PETR3,0.8839,-1.55,39.9,-0.0031,NO SIGNAL
TIMS3/SBSP3,0.726,-1.53,40.7,-0.0097,NO SIGNAL
ITUB4/ABEV3,2.6172,-1.52,45.3,0.0213,NO SIGNAL
SBSP3/USIM5,3.2816,-1.5,43.8,0.016,NO SIGNAL
ITUB4/GGBR4,1.69,-1.5,33.0,-0.0391,NO SIGNAL
ITUB4/VAMO3,12.8773,-1.46,35.9,-0.2717,NO SIGNAL
BBDC4/PETR3,0.3868,-1.46,42.0,-0.0028,NO SIGNAL
ITUB4/GOAU4,3.9088,-1.45,33.9,-0.074,NO SIGNAL
TAEE11/PCAR3,14.0647,-1.44,34.3,-1.1043,NO SIGNAL
HAPV3/VAMO3,3.2147,-1.42,38.2,-0.1161,NO SIGNAL
CYRE3/CSAN3,5.2788,-1.42,37.4,-0.1487,NO SIGNAL
VIVT3/USIM5,3.9296,-1.41,45.3,0.0518,NO SIGNAL
SBSP3/UGPA3,0.8424,-1.39,27.6,-0.0584,NO SIGNAL
RENT3/RAIL3,2.6667,-1.39,29.6,-0.0912,NO SIGNAL
CYRE3/VAMO3,6.3313,-1.39,30.2,-0.2993,NO SIGNAL
